,population (millions),NOC,GDP,GDP/capita,GNI,number of 65+,Host
57,67.081,GBR,2824026234231.55,42098.74978356837,2643852716859.46,18.722511590465256,0
58,3.722716,GEO,16557390869.4311,4447.664250893998,15104331382.4485,14.501589699563436,0
59,32.180401,GHA,62786746873.6125,1951.0865285243804,70776628000.0715,3.405507594513816,0
60,13.205153,GIN,12669446068.0109,959.4319784110718,12861450265.8639,3.386814223205138,0
61,2.015828,GNB,1218759824.0375,604.5951460330444,1456255016.62653,2.7993955833533417,0
62,1.596049,GNQ,9625001537.21392,6030.517570083325,7454529367.8095,3.166569447429245,0
63,10.698599,GRC,185552328472.832,17343.60998789019,188005623449.784,22.181418333372434,0
64,0.123663,GRD,978818749.518433,7915.211094008984,970910296.296296,9.685192822428697,0
65,16.858333,GTM,69535565809.4126,4124.699981274103,76218199360.2445,4.850580422156805,0
66,0.797202,GUY,7275908034.11422,9126.806046791427,5363089688.72902,6.047024468077099,0
67,10.121763,HND,22176498033.542,2190.97187254256,22170450616.1037,4.117187885153999,0
68,4.04768,HRV,52297419557.6084,12920.344384340759,58907236855.0087,21.57089987350779,0
69,11.306801,HTI,14956795315.4134,1322.814058141945,14536821917.3148,4.433110656144032,0
